,county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020","Rates of Persons, aged 55+, Living with HIV, 2020",HIV aged 45+
335,Escambia,Florida,891.0,518.0,629.9
336,Flagler,Florida,452.0,183.0,263.7
337,Franklin,Florida,0.0,165.0,115.49999999999999
338,Gadsden,Florida,1218.0,455.0,683.9
339,Gilchrist,Florida,0.0,163.0,114.1
340,Glades,Florida,2037.0,0.0,611.1
341,Gulf,Florida,305.0,0.0,91.5
342,Hamilton,Florida,2574.0,0.0,772.1999999999999
343,Hardee,Florida,475.0,0.0,142.5
344,Hendry,Florida,647.0,615.0,624.6
345,Hernando,Florida,428.0,253.0,305.5
346,Highlands,Florida,578.0,242.0,342.79999999999995
347,Hillsborough,Florida,877.0,671.0,732.8
348,Holmes,Florida,389.0,0.0,116.69999999999999
349,Indian River,Florida,572.0,263.0,355.7
350,Jackson,Florida,2137.0,0.0,641.1
351,Jefferson,Florida,1771.0,0.0,531.3
352,Lafayette,Florida,0.0,0.0,
353,Lake,Florida,599.0,315.0,400.2
354,Lee,Florida,654.0,280.0,392.2
355,Leon,Florida,1085.0,529.0,695.8
356,Levy,Florida,556.0,0.0,166.79999999999998
357,Liberty,Florida,0.0,214.0,149.79999999999998
358,Madison,Florida,1053.0,0.0,315.9
359,Manatee,Florida,584.0,293.0,380.29999999999995
360,Marion,Florida,655.0,278.0,391.1
361,Martin,Florida,413.0,239.0,291.2
362,Miami-Dade,Florida,1702.0,1425.0,1508.1
363,Monroe,Florida,1337.0,0.0,401.09999999999997
364,Nassau,Florida,274.0,0.0,82.2
365,Okaloosa,Florida,489.0,255.0,325.2
366,Okeechobee,Florida,679.0,283.0,401.79999999999995
367,Orange,Florida,1175.0,935.0,1007.0
368,Osceola,Florida,667.0,551.0,585.8
369,Palm Beach,Florida,1076.0,645.0,774.3
370,Pasco,Florida,395.0,292.0,322.9
371,Pinellas,Florida,978.0,540.0,671.4
372,Polk,Florida,774.0,427.0,531.0999999999999
373,Putnam,Florida,594.0,0.0,178.2
374,Santa Rosa,Florida,251.0,0.0,75.3
375,Sarasota,Florida,499.0,235.0,314.2
376,Seminole,Florida,533.0,348.0,403.5
377,St. Johns,Florida,227.0,184.0,196.89999999999998
378,St. Lucie,Florida,1130.0,650.0,794.0
379,Sumter,Florida,855.0,130.0,347.5
380,Suwannee,Florida,805.0,0.0,241.5
381,Taylor,Florida,1144.0,0.0,343.2
382,Union,Florida,2687.0,0.0,806.1
383,Volusia,Florida,659.0,361.0,450.4
384,Wakulla,Florida,651.0,480.0,531.3
385,Walton,Florida,309.0,0.0,92.7
386,Washington,Florida,1638.0,0.0,491.4
387,Appling,Georgia,459.0,0.0,137.7
388,Atkinson,Georgia,0.0,455.0,318.5
389,Bacon,Georgia,850.0,533.0,628.0999999999999
390,Baker,Georgia,0.0,0.0,
391,Baldwin,Georgia,601.0,379.0,445.6
392,Banks,Georgia,0.0,127.0,88.89999999999999
393,Barrow,Georgia,345.0,195.0,240.0
394,Bartow,Georgia,378.0,281.0,310.09999999999997
395,Ben Hill,Georgia,497.0,456.0,468.29999999999995
396,Berrien,Georgia,443.0,309.0,349.2
397,Bibb,Georgia,1571.0,877.0,1085.1999999999998
398,Bleckley,Georgia,796.0,323.0,464.9
399,Brantley,Georgia,0.0,132.0,92.39999999999999
400,Brooks,Georgia,953.0,0.0,285.9
401,Bryan,Georgia,184.0,0.0,55.199999999999996
402,Bulloch,Georgia,793.0,357.0,487.79999999999995
403,Burke,Georgia,809.0,0.0,242.7
404,Butts,Georgia,1077.0,475.0,655.5999999999999
405,Calhoun,Georgia,0.0,0.0,
406,Camden,Georgia,456.0,0.0,136.79999999999998
407,Candler,Georgia,0.0,400.0,280.0
408,Carroll,Georgia,393.0,291.0,321.59999999999997
409,Catoosa,Georgia,140.0,83.0,100.1
410,Charlton,Georgia,614.0,0.0,184.2
411,Chatham,Georgia,1218.0,859.0,966.6999999999999
412,Chattahoochee,Georgia,0.0,0.0,
413,Chattooga,Georgia,464.0,0.0,139.2
414,Cherokee,Georgia,286.0,165.0,201.29999999999998
415,Clarke,Georgia,683.0,516.0,566.1
416,Clay,Georgia,0.0,0.0,
417,Clayton,Georgia,1374.0,989.0,1104.5
418,Clinch,Georgia,602.0,0.0,180.6
419,Cobb,Georgia,776.0,453.0,549.9
420,Coffee,Georgia,498.0,221.0,304.1
421,Colquitt,Georgia,765.0,627.0,668.4
422,Columbia,Georgia,262.0,210.0,225.6
423,Cook,Georgia,718.0,315.0,435.9
424,Coweta,Georgia,310.0,223.0,249.1
425,Crawford,Georgia,309.0,0.0,92.7
426,Crisp,Georgia,1413.0,460.0,745.9
427,Dade,Georgia,0.0,107.0,74.89999999999999
428,Dawson,Georgia,283.0,0.0,84.89999999999999
429,Decatur,Georgia,1171.0,515.0,711.8
430,DeKalb,Georgia,2229.0,1385.0,1638.1999999999998
431,Dodge,Georgia,650.0,0.0,195.0
432,Dooly,Georgia,736.0,0.0,220.79999999999998
433,Dougherty,Georgia,1662.0,1094.0,1264.3999999999999
434,Douglas,Georgia,799.0,436.0,544.9
435,Early,Georgia,406.0,0.0,121.8
436,Echols,Georgia,0.0,0.0,
437,Effingham,Georgia,294.0,0.0,88.2
438,Elbert,Georgia,696.0,146.0,311.0
439,Emanuel,Georgia,601.0,0.0,180.29999999999998
440,Evans,Georgia,793.0,0.0,237.89999999999998
441,Fannin,Georgia,297.0,194.0,224.89999999999998
442,Fayette,Georgia,305.0,209.0,237.79999999999998
443,Floyd,Georgia,512.0,286.0,353.79999999999995
444,Forsyth,Georgia,137.0,81.0,97.8
445,Franklin,Georgia,441.0,0.0,132.29999999999998
446,Fulton,Georgia,2560.0,1871.0,2077.7
447,Gilmer,Georgia,386.0,233.0,278.9
448,Glascock,Georgia,0.0,0.0,
449,Glynn,Georgia,652.0,376.0,458.79999999999995
450,Gordon,Georgia,233.0,163.0,184.0
451,Grady,Georgia,509.0,0.0,152.7
452,Greene,Georgia,260.0,0.0,78.0
453,Gwinnett,Georgia,593.0,377.0,441.79999999999995
454,Habersham,Georgia,269.0,0.0,80.7
455,Hall,Georgia,273.0,174.0,203.7
456,Hancock,Georgia,0.0,0.0,
457,Haralson,Georgia,121.0,227.0,195.2
458,Harris,Georgia,240.0,0.0,72.0
459,Hart,Georgia,295.0,152.0,194.89999999999998
460,Heard,Georgia,0.0,132.0,92.39999999999999
461,Henry,Georgia,695.0,406.0,492.7
462,Houston,Georgia,535.0,293.0,365.6
463,Irwin,Georgia,1766.0,0.0,529.8
464,Jackson,Georgia,235.0,0.0,70.5
465,Jasper,Georgia,0.0,190.0,133.0
466,Jeff Davis,Georgia,0.0,0.0,
467,Jefferson,Georgia,485.0,0.0,145.5
468,Jenkins,Georgia,672.0,0.0,201.6
469,Johnson,Georgia,445.0,217.0,285.4
470,Jones,Georgia,183.0,97.0,122.79999999999998
471,Lamar,Georgia,420.0,324.0,352.79999999999995
472,Lanier,Georgia,0.0,333.0,233.1
473,Laurens,Georgia,885.0,557.0,655.4
474,Lee,Georgia,295.0,198.0,227.1
475,Liberty,Georgia,1047.0,566.0,710.3
476,Lincoln,Georgia,524.0,270.0,346.2
